main_cat;my_cat
01;1
02;1
03;1
04;1
05;1
06;1
07;1
08;1
09;1
10;1
11;1
12;1
13;1
14;1
15;1
16;2
17;2
18;2
19;2
20;2
21;2
22;2
23;2
24;2
25;3
26;3
27;3
28;4
29;3
30;5
31;4
32;4
33;4
34;4
35;4
36;4
37;4
38;4
39;6
40;6
41;8
42;8
43;8
44;15
45;15
46;15
47;15
48;15
49;15
50;8
51;8
52;8
53;8
54;8
55;8
56;8
57;8
58;8
59;8
60;8
61;8
62;8
63;8
64;8
65;8
66;8
67;8
68;6
69;6
70;6
71;17
72;7
73;7
74;7
75;7
76;7
78;7
79;7
80;7
81;7
82;7
83;7
84;9
85;10
86;14
87;11
88;12
89;13
90;10
91;17
92;17
93;16
94;17
95;17
96;17
97;17
99;17
