my_cat;reduced_cat
1;Alimentation, produits agricoles
2;Alimentation, produits agricoles
3;Pétrole, gaz, charbon, minérais, énergie, produits raffinés
4;Produits chimiques, pharma
5;Produits chimiques, pharma
6;Métaux, mat. plast., vêtements, papiers, bois, tabac, autres
7;Métaux, mat. plast., vêtements, papiers, bois, tabac, autres
8;Métaux, mat. plast., vêtements, papiers, bois, tabac, autres
9;Machines, Matériel électrique
10;Machines, Matériel électrique
11;Véhicules
12;Mat. transport hors veh.
13;Mat. transport hors veh.
14;Mat. transport hors veh.
15;Métaux, mat. plast., vêtements, papiers, bois, tabac, autres
16;Armement
17;Métaux, mat. plast., vêtements, papiers, bois, tabac, autres
